timestamp,hive_id,latitude,longitude,temperature_c,humidity_pct,hive_weight_kg,bee_activity,acoustic_anomaly,ndvi,ndwi,macro_ndvi,precipitation_mm,weight_delta_kg_7d,ndvi_delta_14d,macro_micro_ndvi_gap,flight_radius_km,monitored_area_hectares,foraging_area_label,bee_environmental_health_score,score_status,alert_count,alert_summary
2026-04-08,BS-PAN-001,8.9824,-79.5199,31.37,57.64,35.95,0.826,0.081,0.691,0.157,0.601,3.12,0.0,0.0,0.09,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,82.3,ambiente saudável,0,Colmeia em observação normal
2026-04-09,BS-PAN-001,8.9824,-79.5199,30.88,59.15,36.08,0.798,0.116,0.637,0.17,0.591,5.08,0.13,-0.054,0.046,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,78.6,atenção,0,Colmeia em observação normal
2026-04-10,BS-PAN-001,8.9824,-79.5199,32.12,59.47,36.23,0.786,0.041,0.686,0.185,0.599,4.81,0.15,0.049,0.087,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,83.4,ambiente saudável,0,Colmeia em observação normal
2026-04-11,BS-PAN-001,8.9824,-79.5199,32.47,59.7,36.56,0.849,0.054,0.669,0.153,0.589,5.6,0.33,-0.017,0.08,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,83.5,ambiente saudável,0,Colmeia em observação normal
2026-04-12,BS-PAN-001,8.9824,-79.5199,31.11,59.53,36.8,0.834,0.216,0.678,0.173,0.601,5.21,0.24,0.009,0.077,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,80.9,ambiente saudável,0,Colmeia em observação normal
2026-04-13,BS-PAN-001,8.9824,-79.5199,31.68,59.32,36.97,0.881,0.062,0.665,0.203,0.613,4.92,0.17,-0.013,0.052,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,83.3,ambiente saudável,0,Colmeia em observação normal
2026-04-14,BS-PAN-001,8.9824,-79.5199,32.66,57.43,37.31,0.842,0.071,0.682,0.168,0.633,5.7,0.34,0.017,0.049,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,84.4,ambiente saudável,0,Colmeia em observação normal
2026-04-15,BS-PAN-001,8.9824,-79.5199,32.59,57.01,37.23,0.8,0.203,0.715,0.169,0.649,4.32,1.28,0.033,0.066,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,86.8,ambiente saudável,0,Colmeia em observação normal
2026-04-16,BS-PAN-001,8.9824,-79.5199,32.9,58.64,37.24,0.8,0.251,0.705,0.189,0.605,6.17,1.16,-0.01,0.1,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,85.7,ambiente saudável,0,Colmeia em observação normal
2026-04-17,BS-PAN-001,8.9824,-79.5199,32.56,56.99,37.2,0.911,0.067,0.728,0.202,0.633,4.18,0.97,0.023,0.095,3.0,2827.43,Raio de voo de 3 km · 2.827 hectares monitorados,90.0,ambiente saudável,0,Colmeia em observação normal
